company,name,title,mapped,role_bucket,connection_degree,score,score_ge_35,note_qc,note,company_cap,min_score,selected_for_company,company_sent
Checkr,Victor Kabdebon,GM for Checkr Tenant; Ex-Founder @Truework (acquired by Checkr),yes,Founder,3rd,6,no,send,"Hi Victor, I'm a Marshall MBA and former platform engineer exploring technical product roles at Checkr. Does that background fit anything useful there? Any recs on who I should talk to about product hiring?",3,20,0,False
Checkr,Jonathan Perichon,Co-founder @ Checkr,yes,Founder,3rd,6,no,send,"Hi Jonathan, I'm a Marshall MBA and former data/platform engineer exploring product roles at Checkr. Platform systems work is where I've built the most, and I'm curious if that fits anything useful there. Who should I talk to about that?",3,20,0,False
Checkr,Ilan Frank,CPO Checkr | Driving companies from 1 -> 100 🚀,yes,Founder,3rd,6,no,send,"Hi Ilan, I'm a Marshall MBA and former platform engineer exploring technical product roles at Checkr. Does that fit anything useful there? Any recs on who I should talk to about it?",3,20,0,False
Checkr,Rachel Bright,"Senior Software Engineer @ Checkr, Inc.",yes,Engineering,3rd,2,no,send,"Hi Rachel, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Checkr. Checkr's platform work connects with systems I've built before. I'd value a quick pointer on how builders work with product there.",3,20,0,False
Checkr,Pranav B.,"Security Engineer at Checkr, Inc.",yes,Engineering,3rd,2,no,send,"Hi Pranav, I'm an MBA with backend/data engineering experience, now exploring technical PM roles at Checkr. I'm curious how builders like you influence product decisions there. Any pointers on who I should talk to about that?",3,20,0,False
Checkr,Krista Moroder,VP of Engineering at Checkr,yes,Engineering,3rd,2,no,send,"Hi Krista, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Checkr. Checkr's platform work connects with systems I've built before. I'd value a quick pointer on how builders work with product there.",3,20,0,False
Checkr,Jordan Brooker,"Director of Engineering at Checkr, Inc.",yes,Engineering,3rd,2,no,send,"Hi Jordan, I'm a Marshall MBA + former data/platform engineer exploring PM/product roles at Checkr. Since you're on the engineering side there, I'd value a pointer on how technical PM candidates can stand out.",3,20,0,False
Checkr,Francesco Laurita,Principal Engineer at Checkr | Coinbase | Citadel,yes,Engineering,3rd,2,no,send,"Hi Francesco, I'm a Marshall MBA and former data/platform engineer exploring technical PM roles at Checkr. How do builders actually shape product decisions there? Any one person I should talk to about that?",3,20,0,False
Checkr,Faye Cheng,Senior Software Engineer,yes,Engineering,3rd,2,no,send,"Hi Faye, I'm a Marshall MBA + former engineer looking at product roles at Checkr. Since you've seen the engineering side, I'd value your take on how to get on the team's radar.",3,20,0,False
Checkr,Daniel Gallagher,Staff Software Engineer at Checkr,yes,Engineering,3rd,2,no,send,"Hi Daniel, I'm exploring technical PM roles at Checkr from a data/platform engineering background. Does that background seem relevant to product work there? Any recommendations on people I should talk to about that?",3,20,0,False
Checkr,Shobana Ganganithi,Global People Operations Leader | Technology-Driven Solutions,yes,Adjacent,3rd,-15,no,send,"Hi Shobana, I'm a Marshall MBA + former engineer exploring product/strategy roles at Checkr. Your operator/strategy background there caught my eye. Open to connecting? I'd value a quick read on fit.",3,20,0,False
Checkr,Sloane Tolleson,Technical Recruiting @Checkr - we’re hiring!,yes,Recruiting,3rd,-20,no,send,"Hi Sloane, I'm a Marshall MBA + former engineer looking at PM/product roles at Checkr. I'd value a connect and a quick pointer on what matters to the team.",3,20,0,False
Checkr,Donald James,"Technical Recruiting Maestro at Checkr, Inc.",yes,Recruiting,3rd,-20,no,send,"Hi Donald, I'm a Marshall MBA + former engineer looking at PM/product roles at Checkr. I'd value a connect and a quick pointer on what matters to the team.",3,20,0,False
Checkr,Tristan Boisset,RevOps & GTM Systems @ Checkr | Wharton MBA | Special Forces Veteran,yes,Other,3rd,-25,no,send,"Hi Tristan, I'm a Marshall MBA + former engineer looking at PM/product roles at Checkr. I'd value a connect and a quick pointer on what matters to the team.",3,20,0,False
Checkr,Sandeep Thakur,"Senior Director, Product @ Checkr (The AI powered people data company)",yes,Other,3rd,-25,no,send,"Hi Sandeep, I'm a Marshall MBA + former engineer looking at PM/product roles at Checkr. I'd value a connect and a quick pointer on what matters to the team.",3,20,0,False
Commure,Shubham Maheshwari,Software Engineer || MS CS from USC || Passionate about Backend Development and System Design || Competitive Programmer,no,Engineering,2nd,82,yes,send,"Hi Shubham, fellow Trojan here - I'm exploring PM roles at Commure with a data platform and enterprise software background. I'd value your quick thoughts on approaching the team. Fight On!",3,35,2,False
Commure,Jianxiang Gao,"AI Software Engineer , Building Scalable AI Systems",no,Engineering,2nd,82,yes,send,"Hi Jianxiang, fellow Trojan here - I'm at USC Marshall and exploring PM roles at Commure after building data products and enterprise systems. Would value any guidance you're open to sharing. Fight On!",3,35,2,False
Commure,Siyang Zhu,Product Operation Manager @ Commure | Project Manager @Tripalink | Product Manager @Bytedance | MS Analysis@USC | BS Computer Science @ SJSU | Cum Laude@SJSU | 2021&2022 CSA president@SJSU,yes,Product,3rd,48,yes,send,"Hi Siyang - fellow Trojan here. I'm a Marshall MBA with backend/data and FlairX applied AI PM experience, exploring product roles at Commure. Who on your team should I talk to about technical PM fit?",3,35,2,False
Commure,Ayush Bhardwaj,"SDE-2 @Commure | Disrupting US Healthcare | Full Stack Engineer | MS in CS @ USC | React,Javascript, NodeJS, ExpressJS, Python, SQL, Data warehouses",yes,Engineering,3rd,42,yes,send,"Hi Ayush, fellow Trojan here - I'm exploring technical PM roles at Commure from an Optum and data platform background. Does that fit product work there? Any recommendations on who I should talk to about it?",3,35,2,False
Commure,Richard Mu,0-​>1 Product Development | Ehemaliger Deutschlehrer,no,Other,3rd+,25,no,,,3,35,2,False
Commure,Tarush Tejas Rajput,Engineering @ Commure & Athelas | CS @ UC Irvine,no,Engineering,2nd,42,yes,send,"Hi Tarush, I'm a Marshall MBA + former engineer looking at product roles at Commure. Since you've seen the engineering side, I'd value your take on how to get on the team's radar.",3,35,2,False
Commure,Akshay Bidwai,SWE II @Commure,no,Engineering,2nd,42,yes,send,"Hi Akshay, I'm a Marshall MBA + former engineer looking at product roles at Commure. Since you've seen the engineering side, I'd value your take on how to get on the team's radar.",3,35,2,False
Commure,Jonathon Zuniga,Product at Commure,no,Other,2nd,15,no,,,3,35,2,False
Commure,Hina Masuda-Singh,Product @ Commure | HealthTech | UChicago Neuro Alum,no,Other,2nd,15,no,,,3,35,2,False
Commure,Aditya Anguria,Product @ Commure | MIT Sloan MBA,no,Other,2nd,15,no,,,3,35,2,False
Commure,Ashesh Prakash,Senior Product Manager @ Commure | UCLA MBA '21,yes,Product,3rd,8,no,send,"Hi Ashesh, I'm a Marshall MBA + former engineer looking at PM/product roles at Commure. Your product background there caught my eye. I'd value a connect and a quick read on what matters to product there.",3,35,2,False
Commure,Aryan Chaudhary,Product Manager @ Commure | Dartmouth’25 | ex-BlackRock | AI | Data | HealthTech,yes,Product,3rd,8,no,send,"Hi Aryan, I'm a Marshall MBA and former data/platform engineer exploring technical PM at Commure. Your FlairX work on regulated AI caught my attention - I'm curious how backend/data systems experience translates to care workflows. Who should I talk to, or are you open to a quick chat?",3,35,2,False
Commure,Anagha Todalbagi,Product Manager at Microsoft,yes,Product,3rd,8,no,send,"Hi Anagha, I'm a Marshall MBA and former data/platform engineer with Optum care workflow and regulated AI experience. I'm exploring technical PM roles at Commure - does that background seem relevant? One pointer on what helps candidates stand out with your team would be really helpful.",3,35,2,False
Commure,Adam Mohiuddin,"AI Agents Product Manager at Commure | EX-Facebook, Nomura",yes,Product,3rd,8,no,send,"Hi Adam, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Commure. Your applied AI background caught my eye. Open to connecting?",3,35,2,False
Commure,Jasdeep Singh Grover,MS CS Stony Brook | Ex- Data Science Intern HPE | Ex- SDE Barclays | Cofounder Somaiya ML Research Association | Winner Smart India Hackathon 2019 | ACM ICPC Regionals 2019,yes,Founder,3rd,6,no,send,"Hi Jasdeep, I'm a Marshall MBA + former engineer exploring product work at Commure. Commure's platform work connects with systems I've built before. If that background could be useful, I'd value a connect.",3,35,2,False
Commure,Utkarsh Shrivastava,Software Engineer at Commure | CS at BU | Backend and Distributed Systems,yes,Engineering,3rd,2,no,send,"Hi Utkarsh, I'm a Marshall MBA + former data/platform engineer exploring PM/product roles at Commure. Since you're on the engineering side there, I'd value a pointer on how technical PM candidates can stand out.",3,35,2,False
Commure,Ryan Rigor,Engineering @ Commure,yes,Engineering,3rd,2,no,send,"Hi Ryan, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Commure. Commure's platform work connects with systems I've built before. I'd value a quick pointer on how builders work with product there.",3,35,2,False
Commure,Rachana C.,"SWE @ Commure, Inc.",yes,Engineering,3rd,2,no,send,"Hi Rachana, I'm a Marshall MBA + former engineer looking at product roles at Commure. Since you've seen the engineering side, I'd value your take on how to get on the team's radar.",3,35,2,False
Commure,Naman Gala,Software Engineering Manager | Architect | Software Engineer,yes,Engineering,3rd,2,no,send,"Hi Naman, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Commure. Commure's platform work connects with systems I've built before. I'd value a quick pointer on how builders work with product there.",3,35,2,False
Commure,Manikanta V,software engineer,yes,Engineering,3rd,2,no,send,"Hi Manikanta, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Commure. Commure's platform work connects with systems I've built before. I'd value a quick pointer on how builders work with product there.",3,35,2,False
Commure,Amon Sthapit,Software Engineer | MEng CS at Cornell Tech,yes,Engineering,3rd,2,no,send,"Hi Amon, I'm a Marshall MBA + former data/platform engineer exploring PM/product roles at Commure. Since you're on the engineering side there, I'd value a pointer on how technical PM candidates can stand out.",3,35,2,False
Commure,Shreyas Basavaraj,"6+ years in Tech B2B SaaS | Product Development, Program Management, Management Consulting |",yes,Adjacent,3rd,-15,no,send,"Hi Shreyas, I'm a Marshall MBA + former data/platform engineer looking at product-adjacent paths at Commure. Open to connecting?",3,35,2,False
Commure,Neel Shah,Technical Product Operations @ Commure | Program Manager | Driving Product Reliability & Innovation,yes,Adjacent,3rd,-15,no,send,"Hi Neel, I'm a Marshall MBA + former data/platform engineer looking at product-adjacent paths at Commure. Open to connecting?",3,35,2,False
Recurly,Georgianne Parker,Events & Field Marketing Leader | B2B SaaS | Pipeline & Revenue Growth | Global Event Strategy,no,Adjacent,2nd,25,no,send,"Hi Georgianne, I'm a Marshall MBA and former backend engineer from Intuit's billing systems team. Spent time on subscription workflows and SMB finance - the exact problems Recurly tackles. I'm targeting technical PM roles and looking for the right person to talk to. Any suggestions?",3,35,0,False
Recurly,Matthew Singer,Sales & Product Leader at Recurly,yes,Product,3rd,8,no,send,"Hi Matthew, I'm a Marshall MBA + former engineer looking at PM/product roles at Recurly. Your product background there caught my eye. I'd value a connect and a quick read on what matters to product there.",3,35,0,False
Recurly,Joe Rohrlich,Chief Executive Officer at Recurly,yes,Founder,3rd,6,no,send,"Hi Joe, I'm a Marshall MBA and former engineer with Intuit billing systems experience. Recurly's subscription and billing space aligns with that background. Does that fit anything on your product team, or who should I talk to about it?",3,35,0,False
Recurly,Jason Karpf,"Sr. Director, Strategic & Enterprise Sales at Recurly",yes,Other,3rd,-25,no,send,"Hi Jason, I'm a Marshall MBA and former engineer targeting technical PM roles. I built billing systems at Intuit around SMB workflows and subscription monetization - exactly the problem space Recurly owns. Who on the product team should I talk to about how you're thinking about this?",3,35,0,False
Collectly,Oleg Rogynskyy,"Serial founder/CEO, running a $1B+ defense tech company focused on multi-domain autonomy for national security (US, Europe, APAC). ~$300M raised previously.",yes,Founder,3rd,6,no,send,"Hi Oleg, I'm a Marshall MBA and former data/platform engineer exploring product roles. Does a marketplace and data systems background fit anything useful at Collectly? If so, who should I talk to about that?",3,35,0,False
Collectly,Hrachik Ajamian,"Y Combinator alum. Founder of Pearch.ai—the most accurate people search API & MCP in the world. Built 4 successful companies funded by First Round Capital, SV Angel, YC etc.",yes,Founder,3rd,6,no,send,"Hi Hrachik, I'm a Marshall MBA and former data/platform engineer exploring product roles at Collectly. My background in marketplace and data systems feels relevant there. Does that fit anything useful, or any recs on who owns product hiring?",3,35,0,False
Collectly,Kara McSweeney,Product @ Collectly,yes,Other,3rd,-25,no,send,"Hi Kara, I'm a Marshall MBA and former data/platform engineer exploring technical product roles. Collectly's marketplace and data systems angle aligns with what I've built. Who's the right person to talk with about PM openings there?",3,35,0,False
HeyGen,Ular Kimsanov,"SWE Intern @ HeyGen | Prev @ NSF, Astera",yes,Engineering,3rd,2,no,send,"Hi Ular, I'm a Marshall MBA + former data/platform engineer exploring technical PM roles at HeyGen. I've been digging into avatar and AI communication tooling for recruiting workflows at FlairX. How do technical PMs stand out there? Any recommendations on who I should talk to?",3,35,0,False
HeyGen,Somansh Reddy Satish,"Product Infra, Video Agent @ HeyGen | Systems @ Carnegie Mellon",yes,Engineering,3rd,2,no,send,"Hi Somansh, I'm a Marshall MBA and former engineer exploring product roles at HeyGen. I've been working on avatar and interview tooling at FlairX - curious if that background seems relevant to product work there. Any recommendations on who I should talk to about it?",3,35,0,False
HeyGen,Raymond Ku,SWE @ HeyGen,yes,Engineering,3rd,2,no,send,"Hi Raymond, I'm a Marshall MBA and former data/platform engineer exploring technical PM roles at HeyGen. I built avatar-based interview tooling at FlairX and I'm curious how that kind of work fits into what you're building. Any thoughts on who I should talk to about product there?",3,35,0,False
HeyGen,Evan Lu,SWE @ HeyGen | Brown,yes,Engineering,3rd,2,no,send,"Hi Evan, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at HeyGen. HeyGen's recruiting workflow maps directly to my AI interview work at FlairX. I'd value a quick pointer on how builders work with product there.",3,35,0,False
HeyGen,Annie Ma,SWE at HeyGen | Stanford,yes,Engineering,3rd,2,no,send,"Hi Annie, I'm a Marshall MBA and former data/platform engineer exploring technical PM roles at HeyGen. My work at FlairX on AI interview avatars and recruiting workflows feels relevant to what you're building. Does that background fit product there? Any pointers on who I should talk to?",3,35,0,False
HeyGen,Andy Cheigh,Engineering @ HeyGen,yes,Engineering,3rd,2,no,send,"Hi Andy, I'm a Marshall MBA and former engineer exploring product roles at HeyGen. My FlairX work on avatar-based interview tooling maps directly to your recruiting workflow space. How do builders influence product decisions there? Any pointers on who I should talk to?",3,35,0,False
HeyGen,Adithya N.,GenAI @HeyGen | MSCV@CMU | Machine Learning Engineer | Video Diffusion | VLMs,yes,Engineering,3rd,2,no,send,"Hi Adithya, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at HeyGen. HeyGen's recruiting workflow maps directly to my AI interview work at FlairX. I'd value a quick pointer on how builders work with product there.",3,35,0,False
Writer,David Kohn,GTM Ops at WRITER,no,Adjacent,2nd,25,no,send,"Hi David, I'm a Marshall MBA and former engineer exploring product roles at Writer. I built recruiting workflow systems at FlairX and worked on AI adoption at L'Oreal - both touch the workflow/content problems Writer solves. Who's the right person to talk to about product openings?",3,35,0,False
Writer,Arjun Krishna,"Senior Machine Learning Engineer @ Writer | Ex Amazon , Adobe ML | IIT Roorkee 2019",yes,Engineering,3rd,2,no,send,"Hi Arjun, I'm a Marshall MBA and former data/platform engineer exploring technical PM roles at Writer. I've worked on AI workflow systems and recruiting content engines - curious how that background fits product work there. Any concrete pointers on who I should talk to?",3,35,0,False
January,Cheri R.,Staff Product Manager at Engine,no,Product,3rd+,58,yes,send,"Hi Cheri, fellow Trojan here. I'm a Marshall MBA with data platform and enterprise software experience, now exploring technical PM roles at January. Given your time there, does that background seem like a fit for the product work you saw? Happy to connect - Fight On!",2,35,2,True
January,Shaza M.,Software Engineer at January,no,Engineering,2nd,42,yes,send,"Hi Shaza, I'm a Marshall MBA and former data/platform engineer exploring technical PM roles at January. Given your engineering work there, I'm curious - how do builders influence product decisions? Any recommendations on people I should talk to about that?",2,35,2,True
January,Chendan L.,"Technical Operator | Building systems across product, growth and data",no,Adjacent,2nd,25,no,send,"Hi Chendan, I'm a Marshall MBA + former engineer exploring product/strategy roles at January. Your product background there caught my eye. Open to connecting? I'd value a quick read on fit.",2,35,2,True
January,Nim Sivapalan,Product at January,no,Other,2nd,15,no,send,"Hi Nim, I'm a Marshall MBA and former data/backend engineer exploring technical product roles. I'm curious whether January's marketplace and data systems work is hiring for product - could you point me to the right person or let me know if there's a fit to chat?",2,35,2,True
January,Oluwapelumi Fafowora,Software Engineer at January | Kleiner Perkins Fellow,yes,Engineering,3rd,2,no,send,"Hi Oluwapelumi, I'm a Marshall MBA and former engineer exploring technical product roles at January. Does my engineering background fit what you're building? If so, who should I talk to about that?",2,35,2,True
January,Olivia Heming,Software Engineer @ January,yes,Engineering,3rd,2,no,send,"Hi Olivia, I'm a Marshall MBA and former engineer exploring technical product roles at January. I'm curious how builders actually influence product decisions there - does that kind of work appeal to someone with my engineering background? Any recommendations on who I should talk to?",2,35,2,True
January,Lauren Javaly,Senior Software Engineer at January,yes,Engineering,3rd,2,no,send,"Hi Lauren, I'm a Marshall MBA and former data/platform engineer exploring technical product roles at January. Does my engineering background fit product work there, and how do builders influence product decisions? Would love a pointer on who I should talk to about this.",2,35,2,True
January,Ashneel Das,Senior Software Engineer,yes,Engineering,3rd,2,no,send,"Hi Ashneel, I'm a Marshall MBA with a data/platform engineering background, now exploring technical product roles at January. I'm curious - how much do engineers like you shape product decisions there? Any recommendations on who I should talk to about that?",2,35,2,True
Datadog,Abdulrahman S.,AI Infra @ Datadog | Incoming @ Mercury | OpenAI Codex Lab | CS + Business @ USC,no,Engineering,2nd,82,yes,send,Hey Abdulrahman - fellow Trojan here. I'm exploring technical PM roles at Datadog coming from a Hevo monitoring and platform engineering background. That observability and infrastructure work seems relevant to what you're building in AI Infra. Who should I talk to about PM opportunities there?,3,35,3,True
Datadog,Veena Ramachandran,Senior Product Designer • Enterprise Design • AI • Legal Tech • E-Commerce • Recruitment Tech,no,Other,2nd,55,yes,send,"Hi Veena, fellow Trojan here - I'm a Marshall MBA with platform engineering background, now targeting technical PM roles. Datadog's observability work aligns with what I built at Hevo. Could you point me toward the right PM or hiring manager to talk to? Fight On!",3,35,3,True
Datadog,Andy Lihani,Product Marketing Leader @ Datadog,no,Other,2nd,55,yes,send,"Hi Andy, fellow Trojan and Marshall here - I built monitoring and platform infrastructure at Hevo and I'm exploring PM roles in observability at Datadog. Could you point me to the right person on the product team? Thanks - Fight On!",3,35,3,True
